agency_cd,site_no,station_nm,site_tp_cd,lat_va,long_va,dec_lat_va,dec_long_va,coord_meth_cd,coord_acy_cd,coord_datum_cd,dec_coord_datum_cd,district_cd,state_cd,county_cd,country_cd,land_net_ds,map_nm,map_scale_fc,alt_va,alt_meth_cd,alt_acy_va,alt_datum_cd,huc_cd,basin_cd,topo_cd,instruments_cd,construction_dt,inventory_dt,drain_area_va,contrib_drain_area_va,tz_cd,local_time_fg,reliability_cd,gw_file_cd,nat_aqfr_cd,aqfr_cd,aqfr_type_cd,well_depth_va,hole_depth_va,depth_src_cd,project_no,geometry
USGS,315505084050901,13P020,GW,315505.03,840508.6,31.91806389,-84.0857222,G,5,NAD83,NAD83,13,13,13261,US,,LESLIE,,342.0,M,5.0,NAVD88,3130006,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19950215.0,,,,EST,Y,U,YY,,120FLRDU,,260.0,260.0,A,,POINT (-84.0857222 31.91806389)
USGS,315505084151801,11P002,GW,315505.0,841518.0,31.91822245,-84.2549104,M,F,NAD27,NAD83,13,13,13261,US,,SMITHVILLE WEST,24000.0,313.0,M,5.0,NGVD29,3130007,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19521201.0,,,,EST,Y,U,YYNYNNNN,S100SECSLP,124CLBR,,110.0,110.0,,0451307200,POINT (-84.2549104 31.91822245)
USGS,315517084075301,12P005,GW,315517.0,840753.0,31.92155808,-84.13129489,M,F,NAD27,NAD83,13,13,13261,US,,SMITHVILLE EAST,24000.0,343.0,M,5.0,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19520101.0,,,,EST,Y,U,YYNYNNNN,S100SECSLP,124CCFD,,163.0,163.0,,0451307200,POINT (-84.13129489 31.92155808)
USGS,315522083573301,14P007,GW,315522.0,835733.0,31.92295006,-83.9590665,M,F,NAD27,NAD83,13,13,13261,US,,COBB,24000.0,299.0,M,5.0,NGVD29,3130006,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19520201.0,,,,EST,Y,U,YYNYNNNN,S400FLORDN,124OCAL,,130.0,130.0,,0451307200,POINT (-83.9590665 31.92295006)
USGS,315527084204801,11P012,GW,315527.0,842048.0,31.9243318,-84.3465792,M,F,NAD27,NAD83,13,13,13261,US,,SMITHVILLE WEST,24000.0,432.0,M,5.0,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,19781117.0,,,EST,Y,C,YYNYNYNN,S100SECSLP,125CLTN,C,466.0,466.0,,0451300200,POINT (-84.3465792 31.9243318)
USGS,315628084105801,12P001,GW,315622.0,841058.0,31.93961238,-84.1826855,M,F,NAD27,NAD83,13,13,13261,US,,SMITHVILLE EAST,24000.0,320.0,M,5.0,NGVD29,3130007,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19520401.0,,,,EST,Y,U,YYNYNNNN,S100SECSLP,124JCKS,C,100.0,100.0,,0451307200,POINT (-84.1826855 31.93961238)
USGS,315637083585901,14P016,GW,315637.0,835859.0,31.9437829,-83.98295589,M,F,NAD27,NAD83,13,13,13261,US,,COBB,24000.0,285.0,M,5.0,NGVD29,3130006,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,197912.0,,,EST,Y,C,YYNYNYNN,S100SECSLP,124CLBR,C,310.0,310.0,,0451300200,POINT (-83.98295589 31.9437829)
USGS,315640084202302,11P011,GW,315640.0,842023.0,31.9446093,-84.33963449,M,F,NAD27,NAD83,13,13,13261,US,,SMITHVILLE WEST,24000.0,390.0,M,5.0,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,19780504.0,,,EST,Y,C,YYNYNYNN,S100SECSLP,125CLTN,C,350.0,350.0,O,0451300200,POINT (-84.33963449 31.9446093)
USGS,315706084200601,11P013,GW,315706.0,842006.0,31.95183149,-84.3349121,M,F,NAD27,NAD83,13,13,13261,US,,SMITHVILLE WEST,24000.0,402.0,M,5.0,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,19651108.0,,,EST,Y,C,YYNYNYNN,S100SECSLP,211PVDC,,350.0,350.0,O,0451300200,POINT (-84.3349121 31.95183149)
USGS,315711083562701,14P013,GW,315711.0,835627.0,31.9532278,-83.9407322,M,S,NAD27,NAD83,13,13,13261,US,,"COBB, GA",24000.0,248.0,M,5.0,NGVD29,3130006,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YNNNNYNN,S100SECSLP,124CLBR,,,,,0451300200,POINT (-83.9407322 31.9532278)
USGS,315712083562401,14P018,GW,315712.0,835624.0,31.9535056,-83.9398988,M,T,NAD27,NAD83,13,13,13261,US,,COBB,24000.0,248.0,M,10.0,NGVD29,3130006,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19900615.0,19901026.0,,,EST,Y,C,YYYNNNNN,,,,135.0,,D,,POINT (-83.9398988 31.9535056)
USGS,315713084050601,13P001,GW,315717.0,840508.0,31.95489194,-84.0854595,M,F,NAD27,NAD83,13,13,13261,US,,"LESLIE, GA",24000.0,345.0,M,5.0,NGVD29,3130006,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,1927.0,,,,EST,Y,U,YYYYNNNN,S400FLORDN,124CLBR,C,234.0,234.0,,0451300200,POINT (-84.0854595 31.95489194)
USGS,315714084175101,11P019,GW,315714.31,841750.97,31.953975,-84.2974917,G,5,NAD83,NAD83,13,13,13261,US,,SMITHVILLE WEST,24000.0,351.0,M,5.0,NAVD88,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20000428.0,20100520.0,,,EST,Y,C,YY   Y,,120FLRDU,,180.0,180.0,A,,POINT (-84.2974917 31.953975)
USGS,315720083561001,14P020,GW,315720.0,835610.0,31.95572785,-83.9360098,M,F,NAD27,NAD83,13,13,13261,US,,COBB,24000.0,240.0,M,5.0,NGVD29,3130006,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19911218.0,19920414.0,,,EST,Y,C,YYYNNNNN,,,,80.0,80.0,D,451310200,POINT (-83.9360098 31.95572785)
USGS,315722084143001,12P018,GW,315722.0,841430.0,31.95627758,-84.2415764,M,F,NAD27,NAD83,13,13,13261,US,,SMITHVILLE EAST,24000.0,355.0,M,5.0,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19911014.0,19920415.0,,,EST,Y,C,YYYNNNNN,,,,134.0,134.0,S,451310200,POINT (-84.2415764 31.95627758)
USGS,315724083583101,14P028,GW,315724.91,835831.75,31.95691944,-83.9754861,D,H,NAD83,NAD83,13,13,13261,US,,COBB,24000.0,,,,,3130006,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,U,,S400FLORDN,124CLBR,,,,,2503-00700,POINT (-83.9754861 31.95691944)
USGS,315736083591401,14P012,GW,315736.0,835914.0,31.9601716,-83.9871224,M,S,NAD27,NAD83,13,13,13261,US,,"COBB, GA",24000.0,295.0,M,5.0,NGVD29,3130006,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YNNNNYNN,S400FLORDN,120FLRDU,,,,,0451300200,POINT (-83.9871224 31.9601716)
USGS,315737083591601,14P005,GW,315737.0,835916.0,31.96044938,-83.987678,M,F,NAD27,NAD83,13,13,13261,US,,COBB,24000.0,290.0,M,5.0,NGVD29,3130006,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19801014.0,,,,EST,Y,C,YYNYNYNN,,124EOCN,U,27.0,35.0,,0451306700,POINT (-83.987678 31.96044938)
USGS,315757084080801,12P016,GW,315757.0,840808.0,31.96600188,-84.1354612,M,S,NAD27,NAD83,13,13,13261,US,,"SMITHVILLE EAST, GA",24000.0,348.0,M,5.0,NGVD29,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YNNNNYNN,S100SECSLP,124CLBR,,,,,0451300200,POINT (-84.1354612 31.96600188)
USGS,315809084110601,12P013,GW,315809.0,841106.0,31.9693341,-84.1849075,M,F,NAD27,NAD83,13,13,13261,US,,SMITHVILLE EAST,24000.0,322.0,M,5.0,NGVD29,3130007,,H,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19520201.0,,,,EST,Y,U,YYNYNNNN,S400FLORDN,124OCAL,,99.0,99.0,,0451307200,POINT (-84.1849075 31.9693341)
USGS,315816083562901,14P006,GW,315852.0,835654.0,31.981283,-83.948232,M,F,NAD27,NAD83,13,13,13261,US,,COBB,24000.0,241.0,M,5.0,NGVD29,3130006,,S,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19520501.0,,,,EST,Y,U,YYYYNNNN,S100SECSLP,124CLBR,,140.0,140.0,,0451307200,POINT (-83.948232 31.981283)
USGS,315834084074301,12P017,GW,315834.0,840743.0,31.97627967,-84.12851639,M,F,NAD27,NAD83,13,13,13261,US,,SMITHVILLE EAST,24000.0,365.0,M,5.0,NGVD29,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,1900.0,19841217.0,,,EST,Y,U,YYNNNYNN,S400FLORDN,124CLBR,,300.0,,A,0451300200,POINT (-84.12851639 31.97627967)
USGS,315837084175201,11P016,GW,315837.77,841752.29,31.97715833,-84.2978583,D,H,NAD83,NAD83,13,13,13261,US,,SMITHVILLE WEST,24000.0,,,,,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,U,,S100SECSLP,125CLTN,,,,,2503-00700,POINT (-84.2978583 31.97715833)
USGS,315842084125301,12P004,GW,315842.0,841253.0,31.9785,-84.2146308,M,F,NAD27,NAD83,13,13,13261,US,,SMITHVILLE EAST,24000.0,328.0,M,5.0,NGVD29,3130007,,S,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19511201.0,,,,EST,Y,U,YYNYNNNN,S100SECSLP,125CLTN,,355.0,355.0,,0451307200,POINT (-84.2146308 31.9785)
USGS,315846084262001,10P001,GW,315846.0,842620.0,31.97960674,-84.4388033,M,S,NAD27,NAD83,13,13,13261,US,,"BOTTSFORD, GA",24000.0,445.0,M,5.0,NGVD29,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YNNNNYNN,S100SECSLP,125CLTN,,,,,0451300200,POINT (-84.4388033 31.97960674)
USGS,315850084235801,10P008,GW,315850.0,842358.0,31.98071857,-84.39935789,M,F,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,450.0,M,5.0,NGVD29,3130007,,H,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,19860610.0,,,EST,Y,C,YYNYNNNN,,,,87.0,,O,0453108700,POINT (-84.39935789 31.98071857)
USGS,315853084175301,11P018,GW,315853.9,841753.31,31.98163889,-84.2981417,D,H,NAD83,NAD83,13,13,13261,US,,SMITHVILLE WEST,24000.0,,,,,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,U,,S100SECSLP,125CLTN,,,,,2503-00700,POINT (-84.2981417 31.98163889)
USGS,315907084144801,12P006,GW,315907.0,841448.0,31.9854436,-84.2465764,M,F,NAD27,NAD83,13,13,13261,US,,SMITHVILLE EAST,24000.0,382.0,M,5.0,NGVD29,3130007,,S,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19530701.0,,,,EST,Y,U,YYNYNNNN,S100SECSLP,124CLBR,,160.0,160.0,,0451307200,POINT (-84.2465764 31.9854436)
USGS,315908084013901,13P019,GW,315908.29,840138.97,31.9856361,-84.0274917,G,5,NAD83,NAD83,13,13,13261,US,,LESLIE,24000.0,320.0,M,5.0,NAVD88,3130006,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19790101.0,20100520.0,,,EST,Y,C,YY   Y,,120FLRDU,,150.0,150.0,A,,POINT (-84.0274917 31.9856361)
USGS,315912084052501,13P007,GW,315912.0,840525.0,31.98683595,-84.0901815,M,F,NAD27,NAD83,13,13,13261,US,,LESLIE,24000.0,355.0,M,5.0,NGVD29,3130006,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19900626.0,19920414.0,,,EST,Y,C,YYYNNNNN,,,,208.0,208.0,D,451310200,POINT (-84.0901815 31.98683595)
USGS,315916084233701,10P004,GW,315916.0,842337.0,31.98794075,-84.3935244,M,F,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,460.0,M,5.0,NGVD29,3130007,,S,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,1972.0,19860609.0,,,EST,Y,C,YYYNNNNN,,,,,,,0453108700,POINT (-84.3935244 31.98794075)
USGS,315917084241801,10P109,GW,315918.0,842417.0,31.98849608,-84.4046357,M,S,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,415.2,L,0.1,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19880101.0,19880101.0,,,EST,Y,C,YYNNNYNN,S100SECSLP,124CLBR,U,42.0,42.0,D,08700,POINT (-84.4046357 31.98849608)
USGS,315918084242201,10P110,GW,315918.0,842421.0,31.98849606,-84.4057469,M,S,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,423.35,L,0.1,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19880101.0,19880101.0,,,EST,Y,C,YYNNNYNN,S100SECSLP,124CLBR,U,68.0,68.0,D,08700,POINT (-84.4057469 31.98849606)
USGS,315918084242801,10P111,GW,315918.0,842426.0,31.98849603,-84.4071358,M,S,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,421.38,L,0.1,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19880101.0,19880101.0,,,EST,Y,C,YYNNNYNN,S100SECSLP,124CLBR,U,49.0,49.0,D,08700,POINT (-84.4071358 31.98849603)
USGS,315918084243201,10P232,GW,315918.0,842432.0,31.988496,-84.4088025,M,F,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,411.77,L,0.01,NGVD29,3130007,,H,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19930630.0,19940825.0,,,EST,Y,C,YYNNYNNN,,,U,45.0,45.0,S,,POINT (-84.4088025 31.988496)
USGS,315918084253001,10P009,GW,315918.0,842530.0,31.98849569,-84.424914,M,F,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,440.0,M,3.0,NGVD29,3130007,,S,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19850101.0,19860610.0,,,EST,Y,C,YYNYNNNN,,,,90.0,,O,0453108700,POINT (-84.424914 31.98849569)
USGS,315919084242001,10P108,GW,315920.0,842419.0,31.9890516,-84.4051913,M,S,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,425.7,L,0.1,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19880101.0,19880101.0,,,EST,Y,C,YYNNYYNN,S100SECSLP,124CLBR,U,48.0,48.0,D,08700,POINT (-84.4051913 31.9890516)
USGS,315919084242301,10P231,GW,315919.0,842423.0,31.9887738,-84.4063024,M,U,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,423.35,L,0.01,NGVD29,3130007,,H,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19940509.0,19940825.0,,,EST,Y,C,YYNNYNNN,,,U,53.0,53.0,S,,POINT (-84.4063024 31.9887738)
USGS,315921084174801,11P017,GW,315921.67,841748.09,31.98935278,-84.2966917,D,H,NAD83,NAD83,13,13,13261,US,,SMITHVILLE WEST,24000.0,,,,,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,U,,S100SECSLP,125CLTN,,,,,2503-00700,POINT (-84.2966917 31.98935278)
USGS,315921084241701,10P133,GW,315922.0,842416.0,31.98960717,-84.4043579,M,S,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,428.25,L,0.1,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19880101.0,19880101.0,,,EST,Y,C,YYNNNYNN,S100SECSLP,124CLBR,U,55.0,55.0,D,08700,POINT (-84.4043579 31.98960717)
USGS,315921084242501,10P131,GW,315922.0,842423.0,31.98960714,-84.4063024,M,S,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,427.61,L,0.1,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19880101.0,19880601.0,,,EST,Y,C,YYNNNYNN,S100SECSLP,124CLBR,U,60.0,60.0,D,08700,POINT (-84.4063024 31.98960714)
USGS,315922084241801,10P132,GW,315923.0,842417.0,31.98988494,-84.4046357,M,S,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,433.31,L,0.1,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19880101.0,19880101.0,,,EST,Y,C,YYNNNYNN,S100SECSLP,124CLBR,U,59.0,59.0,D,08700,POINT (-84.4046357 31.98988494)
USGS,315924084241901,10P107,GW,315925.0,842418.0,31.99044048,-84.4049135,M,S,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,432.8,L,0.1,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19880101.0,19880101.0,,,EST,Y,C,YYNNNYNN,S100SECSLP,124CLBR,U,64.0,64.0,D,08700,POINT (-84.4049135 31.99044048)
USGS,315924084242501,10P106,GW,315924.0,842424.0,31.99016268,-84.4065802,M,S,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,431.38,L,0.1,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19880101.0,19880101.0,,,EST,Y,C,YYNNNYNN,S100SECSLP,124CLBR,U,64.0,64.0,D,08700,POINT (-84.4065802 31.99016268)
USGS,315924084243201,10P119,GW,315922.0,842430.0,31.9896071,-84.4082469,M,S,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,418.04,L,0.1,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19880101.0,19880101.0,,,EST,Y,C,YYNNYYNN,S100SECSLP,124CLBR,U,48.0,48.0,D,08700,POINT (-84.4082469 31.9896071)
USGS,315926084241901,10P135,GW,315927.0,842418.0,31.990996,-84.4049135,M,S,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,437.35,L,0.1,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19880101.0,19880101.0,,,EST,Y,C,YYNNNYNN,S100SECSLP,124CLBR,U,60.0,60.0,D,08700,POINT (-84.4049135 31.990996)
USGS,315927084241201,10P123,GW,315927.0,842409.0,31.99099607,-84.4024134,M,S,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,407.76,L,0.1,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19880101.0,19880101.0,,,EST,Y,C,YYNNNYNN,S100SECSLP,124CLBR,U,32.0,32.0,D,08700,POINT (-84.4024134 31.99099607)
USGS,315927084241401,10P122,GW,315928.0,842411.0,31.99127383,-84.402969,M,S,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,430.59,L,0.1,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19880101.0,19880101.0,,,EST,Y,C,YYNNNYNN,S100SECSLP,124CLBR,U,51.0,51.0,D,08700,POINT (-84.402969 31.99127383)
USGS,315927084241501,10P121,GW,315928.0,842414.0,31.9912738,-84.4038024,M,S,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,439.17,L,0.1,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19880101.0,19880101.0,,,EST,Y,C,YYNNNYNN,S100SECSLP,124CLBR,U,59.0,59.0,D,08700,POINT (-84.4038024 31.9912738)
USGS,315927084243201,10P120,GW,315928.0,842428.0,31.99127374,-84.4076913,M,S,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,430.82,L,0.1,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19880101.0,19890101.0,,,EST,Y,C,YYNNNYNN,S100SECSLP,124CLBR,U,60.0,60.0,D,08700,POINT (-84.4076913 31.99127374)
USGS,315928084242501,10P125,GW,315929.0,842423.0,31.99155154,-84.4063024,M,S,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,434.04,L,0.1,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19880101.0,19880101.0,,,EST,Y,C,YYNNNYNN,S100SECSLP,124CLBR,U,55.0,55.0,D,08700,POINT (-84.4063024 31.99155154)
USGS,315929084090401,12P003,GW,315929.0,840904.0,31.99155676,-84.15101709,M,F,NAD27,NAD83,13,13,13261,US,,SMITHVILLE EAST,24000.0,351.0,M,5.0,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19520101.0,,,,EST,Y,U,YYYYNNNN,S400FLORDN,124OCAL,,84.0,84.0,,0451307200,POINT (-84.15101709 31.99155676)
USGS,315931084241901,10P230,GW,315931.0,842419.0,31.9921071,-84.4051913,M,U,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,443.34,L,0.01,NGVD29,3130007,,H,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19940510.0,19940510.0,,,EST,Y,C,YYNNYNNN,,,U,64.0,64.0,S,,POINT (-84.4051913 31.9921071)
USGS,315932084242501,10P103,GW,315932.0,842423.0,31.99238485,-84.4063024,M,S,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,435.36,L,0.1,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19880101.0,19880101.0,,,EST,Y,C,YYNNNYNN,S100SECSLP,124CLBR,U,57.0,57.0,D,08700,POINT (-84.4063024 31.99238485)
USGS,315933084234201,10P010,GW,315933.0,842342.0,31.99266285,-84.3949133,M,F,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,468.0,M,5.0,NGVD29,3130007,,H,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,1973.0,19860609.0,,,EST,Y,C,YYNYNNNN,,,,,100.0,O,0453108700,POINT (-84.3949133 31.99266285)
USGS,315933084241401,10P102,GW,315933.0,842413.0,31.99266268,-84.4035246,M,S,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,442.16,L,0.1,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19880101.0,19880101.0,,,EST,Y,C,YYNNNYNN,S100SECSLP,124CLBR,U,91.0,91.0,D,08700,POINT (-84.4035246 31.99266268)
USGS,315933084241701,10P104,GW,315932.0,842418.0,31.99238488,-84.4049135,M,S,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,444.35,L,0.1,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19880101.0,19880101.0,,,EST,Y,C,YYNNNYNN,S100SECSLP,124CLBR,U,51.0,51.0,D,08700,POINT (-84.4049135 31.99238488)
USGS,315933084241801,10P105,GW,315932.0,842418.0,31.99238488,-84.4049135,M,S,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,444.03,L,0.1,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19880101.0,19880101.0,,,EST,Y,C,YYNNNYNN,S100SECSLP,124CLBR,U,67.0,67.0,D,08700,POINT (-84.4049135 31.99238488)
USGS,315934084024401,13P010,GW,315934.0,840244.0,31.992948,-84.0454574,M,F,NAD27,NAD83,13,13,13261,US,,LESLIE,24000.0,310.0,M,5.0,NGVD29,3130006,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,1985.0,19921215.0,,,EST,Y,C,YYYNNNNN,,,,180.0,180.0,D,451310200,POINT (-84.0454574 31.992948)
USGS,315935084240201,10P114,GW,315936.0,842403.0,31.99349605,-84.4007467,M,S,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,404.71,L,0.1,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19880101.0,19880101.0,,,EST,Y,C,YYNNNYNN,S100SECSLP,124CLBR,U,15.0,15.0,D,08700,POINT (-84.4007467 31.99349605)
USGS,315935084240901,10P221,GW,315935.0,842409.0,31.99321825,-84.4024134,M,F,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,443.54,M,0.1,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,199302.0,199302.0,,,EST,Y,C,YYNNNNNN,S100SECSLP,124CLBR,U,44.6,44.6,D,0451308700,POINT (-84.4024134 31.99321825)
USGS,315936084240401,10P113,GW,315936.0,842404.0,31.99349604,-84.4010245,M,S,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,422.96,L,0.1,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19880101.0,19880101.0,,,EST,Y,C,YYNNNYNN,S100SECSLP,124CLBR,U,18.0,18.0,D,08700,POINT (-84.4010245 31.99349604)
USGS,315936084240801,10P229,GW,315936.0,842408.0,31.993496,-84.4021356,M,F,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,445.09,L,0.1,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,199305.0,199305.0,,,EST,Y,C,YYNNNNNN,S100SECSLP,124CLBR,U,41.98,41.98,D,0451308700,POINT (-84.4021356 31.993496)
USGS,315936084240901,10P220,GW,315936.0,842409.0,31.993496,-84.4024134,M,F,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,445.19,L,0.1,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,199302.0,199302.0,,,EST,Y,C,YYNNNNNN,S100SECSLP,124CLBR,U,44.65,44.65,D,0451308700,POINT (-84.4024134 31.993496)
USGS,315936084241101,10P228,GW,315936.0,842411.0,31.993496,-84.402969,M,F,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,445.66,L,0.1,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,199305.0,199305.0,,,EST,Y,C,YYNNNNNN,S100SECSLP,124CLBR,U,43.88,43.88,D,0451308700,POINT (-84.402969 31.993496)
USGS,315937084090901,12P015,GW,315937.0,840909.0,31.9937789,-84.152406,M,F,NAD27,NAD83,13,13,13261,US,,SMITHVILLE EAST,24000.0,343.0,M,5.0,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,19780504.0,,,EST,Y,C,YYNYNYNN,S100SECSLP,124CLBR,C,90.0,90.0,,0451300200,POINT (-84.152406 31.9937789)
USGS,315937084240701,10P112,GW,315937.0,842408.0,31.99377379,-84.4021356,M,S,NAD27,NAD83,13,13,13261,US,,BOTTSFORD,24000.0,444.59,L,0.1,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19880101.0,19880101.0,,,EST,Y,C,YYNNYYNN,S100SECSLP,124CLBR,U,43.0,43.0,D,08700,POINT (-84.4021356 31.99377379)
